"","name","state.name","state.abb","ncesID","enrollment_20","fte_20","revenue_nces_20","expenditure_nces_20","enrollment_21","fte_21","revenue_nces_21","expenditure_nces_21","county","city","zip","zip4","locale","latitude","longitude","congresstional_code","metro_code","enrollment_22","fte_22","id"
"1","new york city geographic district # 1","New York","NY","3600076",11035,891.66,NA,NA,10724,890.09,NA,NA,"New York County","NEW YORK",10002,NA,"11-City: Large",40.7213,-73.9863,3612,"1-Metropolitan Area",9969,907.11,NA
"2","new york city geographic district # 2","New York","NY","3600077",62229,4633.68,NA,NA,60446,4496.55,NA,NA,"New York County","NEW YORK",10001,NA,"11-City: Large",40.74741,-73.992971,3612,"1-Metropolitan Area",56893,4707.28,NA
"3","new york city geographic district # 3","New York","NY","3600078",21832,1701.89,NA,NA,20710,1628.7,NA,NA,"New York County","NEW YORK",10025,NA,"11-City: Large",40.7915,-73.9709,3610,"1-Metropolitan Area",19316,1663.71,NA
"4","new york city geographic district # 4","New York","NY","3600079",12778,1040.43,NA,NA,12288,1029.76,NA,NA,"New York County","NEW YORK",10035,NA,"11-City: Large",40.7974,-73.936,3613,"1-Metropolitan Area",11524,1030.95,NA
"5","new york city geographic district # 5","New York","NY","3600081",11430,1004.34,NA,NA,10382,996.64,NA,NA,"New York County","NEW YORK",10027,NA,"11-City: Large",40.8107,-73.9561,3613,"1-Metropolitan Area",9784,999.01,NA
"6","new york city geographic district # 6","New York","NY","3600083",21095,1557.88,NA,NA,19773,1540.27,NA,NA,"New York County","NEW YORK",10033,NA,"11-City: Large",40.853396,-73.933473,3613,"1-Metropolitan Area",18394,1560.8,NA
"7","new york city geographic district # 7","New York","NY","3600084",18949,1624.57,NA,NA,17575,1611.61,NA,NA,"Bronx County","BRONX",10451,NA,"11-City: Large",40.815484,-73.920269,3615,"1-Metropolitan Area",16211,1603.2,NA
"8","new york city geographic district # 8","New York","NY","3600085",27901,2163.5,NA,NA,25994,2096,NA,NA,"Bronx County","BRONX",10473,NA,"11-City: Large",40.8186,-73.8568,3615,"1-Metropolitan Area",24528,2097.2,NA
"9","new york city geographic district # 9","New York","NY","3600086",33752,2600.15,NA,NA,31384,2522.88,NA,NA,"Bronx County","BRONX",10456,NA,"11-City: Large",40.836142,-73.904932,3615,"1-Metropolitan Area",28607,2469.05,NA
"10","new york city geographic district #10","New York","NY","3600087",53277,4107.9,NA,NA,51467,4058.62,NA,NA,"Bronx County","BRONX",10458,NA,"11-City: Large",40.860614,-73.890126,3615,"1-Metropolitan Area",46525,4107.03,NA
"11","new york city geographic district #11","New York","NY","3600088",38445,3131.32,NA,NA,36296,3040.45,NA,NA,"Bronx County","BRONX",10469,NA,"11-City: Large",40.867,-73.8507,3614,"1-Metropolitan Area",33849,3054.03,NA
"12","new york city geographic district #12","New York","NY","3600090",21583,1932.17,NA,NA,20063,1931.85,NA,NA,"Bronx County","BRONX",10460,NA,"11-City: Large",40.839349,-73.880019,3615,"1-Metropolitan Area",18447,1890,NA
"13","new york city geographic district #13","New York","NY","3600091",20961,1597.31,NA,NA,20458,1561.88,NA,NA,"Kings County","BROOKLYN",11238,NA,"11-City: Large",40.676314,-73.96579,3609,"1-Metropolitan Area",19887,1622.86,NA
"14","new york city geographic district #14","New York","NY","3600119",17604,1458.82,NA,NA,16875,1452.8,NA,NA,"Kings County","BROOKLYN",11206,NA,"11-City: Large",40.7039,-73.9534,3607,"1-Metropolitan Area",15762,1501.07,NA
"15","new york city geographic district #15","New York","NY","3600092",31975,2551.98,NA,NA,30388,2562.57,NA,NA,"Kings County","BROOKLYN",11201,NA,"11-City: Large",40.691,-73.988449,3607,"1-Metropolitan Area",28165,2598.09,NA
"16","new york city geographic district #16","New York","NY","3600094",6814,510.74,NA,NA,6356,521.25,NA,NA,"Kings County","BROOKLYN",11221,NA,"11-City: Large",40.691907,-73.931465,3608,"1-Metropolitan Area",6091,530.92,NA
"17","new york city geographic district #17","New York","NY","3600095",21051,1580.74,NA,NA,19597,1536.2,NA,NA,"Kings County","BROOKLYN",11213,NA,"11-City: Large",40.672284,-73.937334,3609,"1-Metropolitan Area",18836,1567.74,NA
"18","new york city geographic district #18","New York","NY","3600096",13941,1044.94,NA,NA,12538,1016.03,NA,NA,"Kings County","BROOKLYN",11236,NA,"11-City: Large",40.64326,-73.903321,3608,"1-Metropolitan Area",11429,974.85,NA
"19","new york city geographic district #19","New York","NY","3600120",22893,1781.99,NA,NA,21344,1778.4,NA,NA,"Kings County","BROOKLYN",11207,NA,"11-City: Large",40.6638,-73.8933,3608,"1-Metropolitan Area",20068,1841.33,NA
"20","new york city geographic district #20","New York","NY","3600151",52014,3366.52,NA,NA,50119,3391.52,NA,NA,"Kings County","BROOKLYN",11209,NA,"11-City: Large",40.62024,-74.028521,3611,"1-Metropolitan Area",47493,3430.38,NA
"21","new york city geographic district #21","New York","NY","3600152",35432,2600.42,NA,NA,34525,2591.52,NA,NA,"Kings County","BROOKLYN",11224,NA,"11-City: Large",40.5824,-73.9725,3608,"1-Metropolitan Area",33455,2682.99,NA
"22","new york city geographic district #22","New York","NY","3600153",34778,2221.43,NA,NA,33200,2248.9,NA,NA,"Kings County","BROOKLYN",11234,NA,"11-City: Large",40.630373,-73.921764,3608,"1-Metropolitan Area",31137,2247.74,NA
"23","new york city geographic district #23","New York","NY","3600121",9617,796.5,NA,NA,8561,792.83,NA,NA,"Kings County","BROOKLYN",11233,NA,"11-City: Large",40.674482,-73.913259,3608,"1-Metropolitan Area",8012,780.96,NA
"24","new york city geographic district #24","New York","NY","3600098",57745,4182.78,NA,NA,54293,4182.09,NA,NA,"Queens County","CORONA",11368,NA,"11-City: Large",40.7424,-73.8629,3614,"1-Metropolitan Area",51878,4245.19,NA
"25","new york city geographic district #25","New York","NY","3600122",37183,2575.43,NA,NA,36061,2612.71,NA,NA,"Queens County","FLUSHING",11354,NA,"11-City: Large",40.769639,-73.833251,3606,"1-Metropolitan Area",34608,2640.95,NA
"26","new york city geographic district #26","New York","NY","3600099",31826,2453.06,NA,NA,31351,2470.55,NA,NA,"Queens County","BAYSIDE",11361,NA,"11-City: Large",40.7451,-73.7668,3606,"1-Metropolitan Area",29600,2505.28,NA
"27","new york city geographic district #27","New York","NY","3600123",46242,3105.52,NA,NA,43540,3095.87,NA,NA,"Queens County","OZONE PARK",11416,NA,"11-City: Large",40.68448,-73.858181,3607,"1-Metropolitan Area",41220,3070.92,NA
"28","new york city geographic district #28","New York","NY","3600100",41318,2703.46,NA,NA,40347,2685.82,NA,NA,"Queens County","JAMAICA",11435,NA,"11-City: Large",40.70242,-73.807744,3605,"1-Metropolitan Area",37531,2734.68,NA
"29","new york city geographic district #29","New York","NY","3600101",26451,1736.72,NA,NA,24957,1749.9,NA,NA,"Queens County","QUEENS VILLAGE",11428,NA,"11-City: Large",40.7208,-73.7315,3605,"1-Metropolitan Area",23673,1711.65,NA
"30","new york city geographic district #30","New York","NY","3600102",39165,2573.4,NA,NA,37841,2574.2,NA,NA,"Queens County","LONG ISLAND CITY",11101,NA,"11-City: Large",40.750317,-73.938125,3612,"1-Metropolitan Area",35787,2604.54,NA
"31","new york city geographic district #31","New York","NY","3600103",64190,4579.82,NA,NA,62857,4668.6,NA,NA,"Richmond County","STATEN ISLAND",10301,4547,"11-City: Large",40.609046,-74.104347,3611,"1-Metropolitan Area",60749,4751.01,NA
"32","new york city geographic district #32","New York","NY","3600097",11128,852.74,NA,NA,10684,864.91,NA,NA,"Kings County","BROOKLYN",11221,NA,"11-City: Large",40.6953,-73.9275,3607,"1-Metropolitan Area",10086,863.89,NA
