"","state.abb","state.name","geo_id","year","name","total_liabilities","net_pension_liability","net_opeb_liability","current_liabilities","net_pension_assets","net_opeb_assets","expenses","revenues","population","urban_pop","pct_urban_pop","median_hh_income_21"
"148","CA","California","06029",2021,"kern county",2863851000,1984698000,18400000,246475000,0,0,1789461000,2114198000,909244,787826,0.866471264304608,57926
"149","TX","Texas","48121",2021,"denton county",945517302,63577282,120611720,131038984,0,0,299304147,382871744,906405,841126,0.927962913521516,98027
"150","MI","Michigan","26099",2021,"macomb county",630844191,0,45432527,313348245,235350995,28327976,563100014,812048812,881219,852930,0.967900074555983,67646
"151","TX","Texas","48215",2021,"hidalgo county",792412703,72709939,54140220,224338745,0,0,540563101,595077981,870796,793236,0.910947758391605,44260
"152","TX","Texas","48141",2021,"el paso county",538404124,152970622,58857250,125013246,0,0,393999931,420376483,865655,830826,0.95976350910349,50983
"153","NJ","New Jersey","34023",2021,"middlesex county",26089235,128422051,1231405298,26089235,0,0,682624114,693353152,863183,854733,0.990234741566473,98992
"154","NJ","New Jersey","34013",2021,"essex county",853905018,0,0,0,0,0,934915605,985000215,862782,863609,0.999862225144953,66191
"155","PA","Pennsylvania","42091",2021,"montgomery county",859012113,53257603,0,281934127,0,0,886852943,944719650,856559,827974,0.966634872564803,102648
"156","MD","Maryland","24005",2021,"baltimore county",9130642000,2019377000,1937925000,431079000,0,0,3490982000,3390494000,854554,793614,0.928708595903035,80159
"157","CA","California","06111",2021,"ventura county",2202431000,809287000,194562000,469649000,0,1858000,2317724000,2448419000,843843,815432,0.966331414729991,95819
"158","OH","Ohio","39061",2021,"hamilton county",2164060000,239988000,0,333244000,3564000,59749000,1016816000,1461511000,830625,810853,0.976179784479178,64087
"159","WA","Washington","53061",2021,"snohomish county",654806038,15321883,4651634,185816843,203745902,0,707312564,958233278,827947,730291,0.882039767765717,99650
"160","TX","Texas","48157",2021,"fort bend county",1661443258,78846469,634919158,168264845,0,0,665679723,1166565573,822779,783302,0.9520199227253,98070
"161","OR","Oregon","41051",2021,"multnomah county",1929819000,728099000,126633000,288051000,0,24425000,1726504000,1687490000,815429,804977,0.987183417787959,77851
"162","OK","Oklahoma","40109",2021,"oklahoma county",442422773,9502733,308520735,103024442,0,0,188010498,163412031,796567,735843,0.924086892747886,57890
"163","KY","Kentucky","21111",2021,"jefferson county",2477366174,1209969000,371956000,104708561,0,0,1098801319,1159936135,782956,770185,0.98367240593178,60636
"164","CA","California","06077",2021,"san joaquin county",2216013213,1573255627,103570248,287495573,0,0,1752992966,2008743593,779227,718832,0.922486599001839,79598
"165","GA","Georgia","13067",2021,"cobb county",1595747561,557302031,154309832,188056148,0,0,1085394612,1273760842,766160,766109,0.99994779083442,87532
"166","CA","California","06081",2021,"san mateo county",2309401000,831037000,58418000,553553000,0,0,2177325000,2464709000,764432,751407,0.982948346637155,131151
"167","GA","Georgia","13089",2021,"dekalb county",2745535000,717694000,609092000,307546000,0,0,1060916000,1289439000,764386,763175,0.998420946594765,70756
"168","FL","Florida","12071",2021,"lee county",1971942000,185941000,652769000,252454000,0,0,1250695000,1471737000,760820,730937,0.960720115874672,66426
"169","NY","New York","36055",2021,"monroe county",1756290000,1546000,526739000,358055000,0,0,1677291000,1799637000,759444,697775,0.918798382498752,66003
"170","CO","Colorado","08041",2021,"el paso county",561363272,157726231,177433869,99419728,0,0,411539647,468200634,730402,655526,0.897495190958317,79094
"171","MA","Massachusetts","25021",2021,"norfolk county",99094039,26064827,47116906,9431880,0,0,38281994,38756308,725999,711300,0.979777707681055,114658
"172","FL","Florida","12105",2021,"polk county",990797933,155096480,186387615,228272310,0,0,776750167,1019623557,725041,646127,0.891153113043862,56344
"173","NJ","New Jersey","34017",2021,"hudson county",137783794,185364574,676531494,123230337,0,0,713737751,744380324,724857,724854,1,79159
"174","MO","Missouri","29095",2021,"jackson county",515860591,720855,5721309,111293420,0,0,309714604,348937104,717206,686587,0.957310611764575,63282
"175","CO","Colorado","08031",2021,"denver county",12287597000,1764486000,253829000,926765000,65973000,0,3707999000,4128337000,715538,715418,0.999854651569064,81262
"176","IL","Illinois","17097",2021,"lake county",389533644,0,18696673,134600460,39077298,0,436713723,541263230,714351,704232,0.985847115247318,95895
"177","IL","Illinois","17197",2021,"will county",641931750,44960011,53068222,112161000,0,0,355212810,449231264,696362,662409,0.951251875839191,93994
"178","NM","New Mexico","35001",2021,"bernalillo county",940238572,378957607,120642605,141339086,0,0,440372419,542770563,676438,649512,0.960185913394161,59723
"179","AL","Alabama","01073",2021,"jefferson county",2988585557,0,115072977,199430718,121961328,0,807964115,802308405,674355,593276,0.879290847624426,55210
"180","OK","Oklahoma","40143",2021,"tulsa county",278870421,138553911,0,17493788,0,0,318341854,294612937,669272,634925,0.948670136071803,59232
"181","UT","Utah","49049",2021,"utah county",339808840,9825653,8226676,96572119,416277,0,291628989,397124865,659392,631512,0.957708458763207,86597
"182","MI","Michigan","26081",2021,"kent county",327844737,0,19822380,110727743,87473853,0,352782608,424398985,657984,551457,0.838113664065753,71933
"183","CO","Colorado","08005",2021,"arapahoe county",490947745,207654520,0,114619921,0,0,413970137,418338834,655058,641552,0.979364037431114,84308
"184","PA","Pennsylvania","42017",2021,"bucks county",555602123,0,0,251910003,35668309,0,629286744,662269451,646526,579965,0.897031574323551,99755
"185","NJ","New Jersey","34025",2021,"monmouth county",49950014,189001523,421395689,49950014,0,0,686586456,736129122,643608,610605,0.948711574466102,107500
"186","NJ","New Jersey","34029",2021,"ocean county",1011704677,320908683,0,0,0,0,514787052,553770430,637229,613695,0.96306822194219,75732
"187","TX","Texas","48339",2021,"montgomery county",1194773412,49048682,311015175,173885862,0,0,531398997,545477194,620451,478509,0.77123764793865,87831
"188","KS","Kansas","20091",2021,"johnson county",1372065338,181941520,25212996,156204744,0,0,717661664,769351233,609864,585241,0.959626998194677,93220
"189","TX","Texas","48491",2021,"williamson county",1502964941,58153888,61086970,132579328,0,0,366126433,508954725,609010,553276,0.908473819285833,96653
"190","FL","Florida","12009",2021,"brevard county",655160577,127428928,27571556,142693690,0,0,651278223,807729054,606603,583073,0.961195953921123,65280
"191","FL","Florida","12009",2022,"brevard county",889310802,341923924,28940840,167940712,0,0,693127754,832550238,606603,583073,0.961195953921123,65280
"192","TX","Texas","48491",2022,"williamson county",1478698412,0,55615361,180096199,15236030,0,405755837,648580913,609010,553276,0.908473819285833,96653
"193","KS","Kansas","20091",2022,"johnson county",1379346992,294761994,20223892,135508112,0,0,720344816,887629930,609864,585241,0.959626998194677,93220
"194","TX","Texas","48339",2022,"montgomery county",1064840923,0,224199623,199379542,47475152,0,519782510,533863539,620451,478509,0.77123764793865,87831
"195","NJ","New Jersey","34029",2022,"ocean county",1068262683,302916834,444927592,0,0,0,547849437,584612193,637229,613695,0.96306822194219,75732
"196","NJ","New Jersey","34025",2022,"monmouth county",49588487,200168238,332633236,49588487,0,0,563592792,601655020,643608,610605,0.948711574466102,107500
"197","PA","Pennsylvania","42017",2022,"bucks county",713808738,167833441,0,295839525,0,0,671377660,765395005,646526,579965,0.897031574323551,99755
"198","CO","Colorado","08005",2022,"arapahoe county",481994275,181684482,0,136110648,0,0,440960757,485418651,655058,641552,0.979364037431114,84308
"199","MI","Michigan","26081",2022,"kent county",516826360,130987955,22376361,173721069,0,0,414111433,417949271,657984,551457,0.838113664065753,71933
"200","UT","Utah","49049",2022,"utah county",349027567,0,6543375,128632167,28151124,0,346479843,444665119,659392,631512,0.957708458763207,86597
"201","AL","Alabama","01073",2022,"jefferson county",3160364524,0,117668334,260293013,265102822,0,819402382,798799650,674355,593276,0.879290847624426,55210
"202","NM","New Mexico","35001",2022,"bernalillo county",806023552,234892180,95808405,204159486,0,0,469291512,559608211,676438,649512,0.960185913394161,59723
"203","IL","Illinois","17197",2022,"will county",656302779,3257375,50988576,181140231,51426809,0,303254753,450040361,696362,662409,0.951251875839191,93994
"204","IL","Illinois","17097",2022,"lake county",465347553,0,19634133,197899756,158816041,0,427662869,556486962,714351,704232,0.985847115247318,95895
"205","CO","Colorado","08031",2022,"denver county",14054059000,1454425000,244985000,1119786000,156920000,0,3703766000,4136851000,715538,715418,0.999854651569064,81262
"206","MO","Missouri","29095",2022,"jackson county",551730468,44377642,4547369,137339385,0,0,326204037,391924013,717206,686587,0.957310611764575,63282
"207","NJ","New Jersey","34017",2022,"hudson county",153968929,241964470,672080872,139415099,0,0,689844172,735647146,724857,724854,1,79159
"208","FL","Florida","12105",2022,"polk county",1348579114,418623364,208784936,315279229,0,0,874988415,995110961,725041,646127,0.891153113043862,56344
"209","CO","Colorado","08041",2022,"el paso county",612505377,219998638,129120022,141220141,0,0,424241371,473244502,730402,655526,0.897495190958317,79094
"210","NY","New York","36055",2022,"monroe county",1764413000,194000,421149000,451053000,90821000,0,1669037000,1850800000,759444,697775,0.918798382498752,66003
"211","FL","Florida","12071",2022,"lee county",2617928000,491165000,590557000,347604000,0,0,1365573000,1531305000,760820,730937,0.960720115874672,66426
"212","GA","Georgia","13089",2022,"dekalb county",3321579000,1170291000,421340000,352782000,0,0,1208686000,1383107000,764386,763175,0.998420946594765,70756
"213","CA","California","06081",2022,"san mateo county",1672083000,99609000,547000,657660000,0,14790000,1985390000,2486652000,764432,751407,0.982948346637155,131151
"214","GA","Georgia","13067",2022,"cobb county",1931904436,785875583,213167041,284774704,0,0,1195894874,1327837805,766160,766109,0.99994779083442,87532
"215","CA","California","06077",2022,"san joaquin county",1882102114,1137961048,81333690,367241962,0,0,1742721012,2072021532,779227,718832,0.922486599001839,79598
"216","KY","Kentucky","21111",2022,"jefferson county",2400797800,1029232000,310565000,94866508,0,0,1070721978,1262234798,782956,770185,0.98367240593178,60636
"217","OR","Oregon","41051",2022,"multnomah county",1620060000,396720000,123162000,345769000,0,8991000,1765692000,2174778000,815429,804977,0.987183417787959,77851
"218","TX","Texas","48157",2022,"fort bend county",1483281134,0,495366734,158164995,32298711,0,622136333,873511068,822779,783302,0.9520199227253,98070
"219","WA","Washington","53061",2022,"snohomish county",767026252,34425940,3574222,233167166,82806194,0,807727967,931974469,827947,730291,0.882039767765717,99650
"220","OH","Ohio","39061",2022,"hamilton county",2119322000,428421000,0,301302000,5156000,79527000,1194765000,1472060000,830625,810853,0.976179784479178,64087
"221","CA","California","06111",2022,"ventura county",1596782000,15480000,161283000,562232000,489891000,3499000,1989882000,2521533000,843843,815432,0.966331414729991,95819
"222","MD","Maryland","24005",2022,"baltimore county",8925251000,1592201000,1993525000,453369000,0,0,3386482000,3604481000,854554,793614,0.928708595903035,80159
"223","NJ","New Jersey","34013",2022,"essex county",1333822760,0,0,0,0,0,940128190,980178939,862782,863609,0.999862225144953,66191
"224","NJ","New Jersey","34023",2022,"middlesex county",24081853,160125268,864329337,24081853,0,0,678535218,691143942,863183,854733,0.990234741566473,98992
"225","TX","Texas","48141",2022,"el paso county",469658879,850554,61501898,178298235,3519952,0,410698821,473629977,865655,830826,0.95976350910349,50983
"226","TX","Texas","48215",2022,"hidalgo county",706023480,0,35754355,244737229,17497275,0,556346007,590556313,870796,793236,0.910947758391605,44260
"227","MI","Michigan","26099",2022,"macomb county",797411925,29807879,95649498,414588393,0,16223318,705098729,905786976,881219,852930,0.967900074555983,67646
"228","TX","Texas","48121",2022,"denton county",942504194,0,131981180,196556722,7850277,0,333491434,382086688,906405,841126,0.927962913521516,98027
"229","CA","California","06029",2022,"kern county",2458533000,1401786000,66568000,272558000,0,0,1760606000,2155740000,909244,787826,0.866471264304608,57926
"230","WA","Washington","53053",2022,"pierce county",786234000,41010000,65840000,205463000,96510000,0,826863000,1065085000,921137,858662,0.932183296603085,85492
"231","TN","Tennessee","47157",2022,"shelby county",1686087369,458893000,0,240880271,0,119734000,1260871205,1399883407,929722,898107,0.965972353680153,54931
"232","IL","Illinois","17043",2022,"dupage county",371780219,25119861,14480279,183587599,89773577,0,436498702,578968613,932877,931125,0.998121938905129,99536
"233","WI","Wisconsin","55079",2022,"milwaukee county",2539046000,330849000,1189697000,464179000,99829000,0,1037576000,1291235000,939495,936887,0.997230409296969,56417
"234","NY","New York","36029",2022,"erie county",2719801000,1791000,1319702000,413110000,90761000,0,1948717000,2218476000,954244,855868,0.896914390150864,63014
"235","NJ","New Jersey","34003",2022,"bergen county",176656160,424813024,1102707506,0,0,0,726123897,761367823,955746,954575,0.99878940958344,104777
"236","GA","Georgia","13135",2022,"gwinnett county",1752172000,442861000,29686000,336653000,0,0,1533144000,1885690000,957027,952537,0.995271988648593,75021
"237","FL","Florida","12103",2022,"pinellas county",1726476142,574430889,515479700,344121316,0,0,1393012585,1729243797,959103,957280,0.998095103048982,61851
"238","MD","Maryland","24033",2022,"prince georges county",8126355662,2011969036,1827234000,675694431,0,0,2941863262,2959489358,967194,943654,0.975654491672362,89689
"239","IN","Indiana","18097",2022,"marion county",933540322,156364982,10649537,47022055,0,0,398523740,453427397,977213,968609,0.991205512058395,58737
"240","MO","Missouri","29189",2022,"st louis county",1165789621,223749888,0,153407695,0,0,858968545,1110658227,1004310,990523,0.986453877754264,72507
"241","NY","New York","36119",2022,"westchester county",5455855819,5961597,2765190616,839826942,120896268,0,2440642883,2897940988,1004445,958924,0.954669040088326,109131
"242","CA","California","06019",2022,"fresno county",1863307000,436078000,0,367406000,0,0,1814287000,2054334000,1008650,895029,0.88734987418877,63140
"243","AZ","Arizona","04019",2022,"pima county",2225697000,656632000,0,365839000,0,19452000,1226132000,1349779000,1043434,951173,0.911580331463544,60604
"244","MD","Maryland","24031",2022,"montgomery county",6546685167,57114416,819410047,693995164,0,0,4729248159,5593468063,1062054,1033604,0.9732058704726,112352
"245","TX","Texas","48085",2022,"collin county",839611375,0,0,229874351,126559762,0,299066697,380821720,1066465,999005,0.938504319071083,102119
"246","GA","Georgia","13121",2022,"fulton county",3269838000,579392000,1282596000,234532000,0,0,1300657000,1168883000,1066702,1059965,0.993676819379213,82820
"247","NC","North Carolina","37119",2022,"mecklenburg county",2646851948,96878331,445605480,416986855,1464707,0,2168695921,2251123416,1115526,1106063,0.991556116548721,75138
"248","NC","North Carolina","37183",2022,"wake county",3954860060,87388204,582455375,343675750,2291248,0,1932392591,1991869149,1129393,1071162,0.94842616941589,91558
"249","VA","Virginia","51059",2022,"fairfax county",7064284286,1298126521,0,695168747,0,39502513,5355159092,5805931496,1150305,1132574,0.984582403510709,133845
"250","CA","California","06013",2022,"contra costa county",2304983000,0,428767000,852991000,179943000,21000000,3552720000,4265257000,1165927,1154266,0.989998516202129,110595
"251","UT","Utah","49035",2022,"salt lake county",901158680,0,89452848,291835637,93065740,0,1289460068,1515735637,1185236,1177043,0.993085776865068,80676
"252","PA","Pennsylvania","42003",2022,"allegheny county",3495707885,1709287075,64322191,242179246,0,0,2335737734,2351482244,1250585,1220381,0.9758535653114,68874
"253","OH","Ohio","39035",2022,"cuyahoga county",1790424922,248055881,0,157082563,10852862,87108546,1390422019,1550202031,1264813,1257664,0.994344636417758,55250
"254","MI","Michigan","26125",2022,"oakland county",823708772,69207954,0,376154998,0,400265102,898512183,909318646,1274395,1203765,0.944577623107435,86597
"255","MN","Minnesota","27053",2022,"hennepin county",3974190169,1282413828,141031543,555563684,0,0,3712882218,3769808267,1281568,1250960,0.976119041952613,84220
"256","TX","Texas","48453",2022,"travis county",2193577570,0,650170983,382030994,39569661,0,875591410,1043089696,1290209,1224251,0.948893494591486,84519
"257","OH","Ohio","39049",2022,"franklin county",1134673000,235764000,0,333895000,0,79476000,1355679000,1560390000,1323800,1305636,0.986273678867086,66056
"258","NY","New York","36059",2022,"nassau county",14209896000,49644000,6777227000,731113000,135249000,0,3023249000,3803833000,1395777,1389785,0.995709190742914,125118
"259","FL","Florida","12095",2022,"orange county",3343687424,1058941820,81132926,662386311,0,0,3022179615,3460872047,1429901,1396338,0.97652296511384,64579
"260","FL","Florida","12057",2022,"hillsborough county",3375581000,1040344000,142427000,595303000,0,0,2615067000,2992868000,1459773,1406155,0.963276890342398,65818
"261","FL","Florida","12099",2022,"palm beach county",3594364662,1539693692,395323262,307663661,0,0,2659504191,3322547956,1492198,1479525,0.991511810485387,70024
"262","NY","New York","36103",2022,"suffolk county",8777884761,48109340,4723930000,1060478347,177784424,0,3045689813,3998664007,1525936,1495948,0.980358079060501,112681
"263","CA","California","06067",2022,"sacramento county",4539311000,403532000,147206000,757014000,0,0,3268277000,4094287000,1585046,1547026,0.976007772600951,79611
"264","CA","California","06001",2022,"alameda county",3481817000,542754000,64962000,1190054000,0,320915000,3392909000,3848856000,1682331,1674100,0.995094370800896,108971
"265","MI","Michigan","26163",2022,"wayne county",2118429006,563847992,75074340,623396057,0,0,846795263,1113482231,1793549,1777476,0.991031807672,52644
"266","CA","California","06085",2022,"santa clara county",10216977000,2989893000,867326000,2188366000,0,0,7232097000,8175440000,1936274,1910722,0.98681116524184,141161
"267","FL","Florida","12011",2022,"broward county",8022241000,1505308000,312736000,461209000,0,0,3226445000,4037270000,1944376,1944223,0.999921825779492,65536
"268","TX","Texas","48029",2022,"bexar county",3217678883,0,187140419,509065799,55969325,0,878555086,999154173,2009322,1914732,0.952923470779227,63014
"269","TX","Texas","48439",2022,"tarrant county",1200856000,28589000,222716000,462047000,0,0,761000000,896004000,2110608,2084718,0.987718417162567,71399
"270","CA","California","06071",2022,"san bernardino county",3614078000,1065771000,0,937837000,0,0,4578231000,5598444000,2181662,2064249,0.94618532544574,74218
"271","NV","Nevada","32003",2022,"clark county",9487340495,1909884763,724613280,884775706,0,24683415,4982849801,6284488499,2265469,2236714,0.987310750438873,63735
"272","WA","Washington","53033",2022,"king county",7371622000,230533000,92158000,1086659000,479882000,0,4819081000,5508067000,2269667,2194904,0.9670565169022,110351
"273","CA","California","06065",2022,"riverside county",7049200000,1289767000,192288000,1973941000,1509000,0,5323639000,5768086000,2418177,2285826,0.945265147207513,78690
"274","TX","Texas","48113",2022,"dallas county",1211575000,246648000,194549000,479961000,0,0,1050839000,1153142000,2611491,2598426,0.994217419368909,63549
"275","FL","Florida","12086",2022,"miami-dade county",29220400000,3979267000,734469000,1956925000,0,0,10728098000,12023119000,2701762,2678436,0.991364540317503,58905
"276","CA","California","06059",2022,"orange county",5472509000,2048680000,233049000,994260000,0,0,4260936000,5644596000,3186979,3179027,0.997501717138026,100210
"277","CA","California","06073",2022,"san diego county",5680147000,2246673000,71147000,1535468000,0,0,5340993000,6027232000,3298635,3153671,0.956053627046832,90756
"278","AZ","Arizona","04013",2022,"maricopa county",3610787387,1626366174,1045980,1051665015,0,49909693,2534230280,3045885768,4420574,4318689,0.976953414131397,76230
"279","TX","Texas","48201",2022,"harris county",10592080708,0,3922333666,1265164404,253423134,0,4590488836,4479142642,4731129,4677507,0.988662786703853,63539
"280","IL","Illinois","17031",2022,"cook county",19531125441,10837262892,1978062391,2561432196,0,0,6881055379,7984980380,5275522,5272651,0.999452188884514,72063
"281","CA","California","06037",2022,"los angeles county",54844462000,7030463000,26997560000,8634894000,0,0,30987889000,33326577000,10014042,9924789,0.991090481344684,77356
"282","HI","Hawaii","15003",2020,"city and county of honolulu",11985749000,2665559000,1871583000,346028000,0,0,2792719000,3219749000,1016506,999341,0.983111790561412,90176
"283","TN","Tennessee","47037",2020,"the metropolitan government of nashville and davidson county",10106765040,303734402,4261044596,431000385,0,0,3182771804,2985439389,715875,693387,0.968574517659286,65463
"284","PA","Pennsylvania","42101",2020,"philadelphia",19141711000,6095885000,1935327000,1937322000,0,0,8712288000,8677695000,1603799,1603797,1,52882
"285","CA","California","06075",2020,"city and county of san francisco",34557584000,4655538000,3903016000,5610057000,0,0,12023583000,12519966000,873959,873965,1,119776
"286","FL","Florida","12031",2020,"jacksonville",6319925000,2985785000,261160000,214031000,0,0,2164006000,2123471000,995560,969177,0.973492492218002,60121
"287","HI","Hawaii","15003",2021,"city and county of honolulu",12416899000,2919908000,1723506000,389766000,0,0,3323166000,3317340000,1016506,999341,0.983111790561412,90176
"288","TN","Tennessee","47037",2021,"the metropolitan government of nashville and davidson county",10003910908,48089719,4302183871,472531760,0,0,3052471950,3668749852,715875,693387,0.968574517659286,65463
"289","PA","Pennsylvania","42101",2021,"philadelphia",18803884000,4721351000,2088155000,2887334000,0,0,8408336000,8763843000,1603799,1603797,1,52882
"290","CA","California","06075",2021,"city and county of san francisco",36525105000,5614021000,3811347000,5527989000,0,0,12585731000,13106808000,873959,873965,1,119776
"291","FL","Florida","12031",2021,"jacksonville",6696965000,3107155000,416420000,408696000,0,0,2119364000,2076052000,995560,969177,0.973492492218002,60121
"292","HI","Hawaii","15003",2022,"city and county of honolulu",12355669000,2270106000,1472298000,831189000,0,0,2918433000,3219681000,1016506,999341,0.983111790561412,90176
"293","TN","Tennessee","47037",2022,"the metropolitan government of nashville and davidson county",8592404771,42884484,2414800324,1104487524,0,0,2342151854,4083458215,715875,693387,0.968574517659286,65463
"294","PA","Pennsylvania","42101",2022,"philadelphia",21025387000,5386419000,2156649000,3391914000,0,0,8888976000,10214282000,1603799,1603797,1,52882
"295","CA","California","06075",2022,"city and county of san francisco",33104748000,341625000,3679684000,5633817000,2445792000,0,11211694000,13374941000,873959,873965,1,119776
"296","FL","Florida","12031",2022,"jacksonville",6540349000,2905810000,274269000,549157000,0,0,2198134000,2370769000,995560,969177,0.973492492218002,60121
