"","ncesID","id","year","name","total_liabilities","net_pension_liability","net_opeb_liability","net_pension_assets","net_opeb_assets","expenses","revenues","state.name","state.abb","enrollment_20","fte_20","revenue_nces_20","expenditure_nces_20","enrollment_21","fte_21","revenue_nces_21","expenditure_nces_21","county","city","zip","zip4","locale","latitude","longitude","congresstional_code","metro_code","enrollment_22","fte_22"
"1","1201560","69989",2020,"District School Board of Pinellas County",931076698,608061187,52281715,0,0,1165276481,1129321171,"Florida","FL",99772,7379.84,1112631000,1159835000,96068,6829.44,1203245000,1231545000,"Pinellas County","LARGO",33770,3536,"11-City: Large",27.914041,-82.793562,1213,"1-Metropolitan Area",95446,6007.53
"2","2102990","33679",2020,"Jefferson County Board of Education",1662666688,534348849,431036181,0,0,1591239863,1572818250,"Kentucky","KY",100348,6160.96,1491611000,1564381000,95911,6236.39,1599691000,1603292000,"Jefferson County","Louisville",40218,NA,"11-City: Large",38.1995,-85.6851,2103,"1-Metropolitan Area",94393,6223.52
"3","1201080","32402",2020,"The School District of Lee County",1278007845,486925058,50552528,0,0,1102540344,1150757420,"Florida","FL",95613,5194.6,1161742000,1103854000,94927,5156.15,1185267000,1151329000,"Lee County","FORT MYERS",33966,1012,"21-Suburb: Large",26.5997,-81.8536,1219,"1-Metropolitan Area",97264,5170.54
"4","2400480","33968",2020,"Montgomery County Public Schools",3663139490,554333453,2616173765,0,0,3093834900,3195067624,"Maryland","MD",165267,11289.73,3473558000,3261751000,160564,11510.59,3587838000,3183090000,"Montgomery County","Rockville",20850,NA,"21-Suburb: Large",39.095191,-77.158219,2408,"1-Metropolitan Area",158231,11605.84
"5","1201530","148148",2020,"Pasco County District School Board",1220077040,397711685,98611974,220109,0,801681147,823883566,"Florida","FL",76661,4650.93,819581000,807965000,77125,4790.18,888274000,928434000,"Pasco County","LAND O LAKES",34638,2826,"21-Suburb: Large",28.262694,-82.477158,1212,"1-Metropolitan Area",81157,4711.88
"6","1201230","148130",2020,"Manatee County District School Board",651729633,278088728,11302048,0,0,638104506,618558687,"Florida","FL",50088,2945.63,606069000,604864000,49181,2856.84,642636000,618914000,"Manatee County","BRADENTON",34205,8840,"21-Suburb: Large",27.494847,-82.564795,1216,"1-Metropolitan Area",50248,2928.34
"7","3700011","36539",2020,"Cumberland County Board of Education",746287666,183778157,490843482,0,676022,517377178,508669063,"North Carolina","NC",50750,3421.89,511445000,515721000,49278,3434.3,508036000,532708000,"Cumberland County","Fayetteville",28306,NA,"12-City: Mid-size",35.0142,-78.896331,3709,"1-Metropolitan Area",48860,3516.85
"8","1500030","71050",2020,"Hawaii Department of Education",568157654,0,0,0,0,3261774036,3449583662,"Hawaii","HI",181088,12220.77,3396555000,3214490000,176441,12145.4,3241890000,3115265000,"Honolulu County","Honolulu",96813,NA,"21-Suburb: Large",21.309338,-157.855285,1501,"1-Metropolitan Area",173178,12026.2
"9","2400120","171323",2020,"Board of Education of Baltimore County",2428010000,137969000,2045949000,0,0,2125318000,1955757000,"Maryland","MD",115038,7629.7,2001257000,1948149000,111084,7821.41,2000658000,1930683000,"Baltimore County","Towson",21204,NA,"21-Suburb: Large",39.404025,-76.63021,2403,"1-Metropolitan Area",111136,7684.77
"10","1201740","196483",2020,"St. Johns County School District",510351766,212334986,26203755,0,0,457213491,517943041,"Florida","FL",43628,2427.1,485351000,466766000,44550,2445.77,529241000,545492000,"St. Johns County","ST AUGUSTINE",32084,3633,"41-Rural: Fringe",29.897871,-81.315877,1204,"1-Metropolitan Area",48032,2600.17
"11","2400090","44313",2020,"Baltimore City Public School System",426185000,0,0,0,0,1446826000,1711671000,"Maryland","MD",79187,4932.9,1708612000,1647371000,77856,5063.13,1672842000,1609484000,"Baltimore city","Baltimore",21202,NA,"11-City: Large",39.312016,-76.613209,2407,"1-Metropolitan Area",77807,5109.6
"12","3701500","196971",2020,"Winston-Salem/Forsyth County Schools-Board of Education",895217484,213912827,605527697,0,785188,604705844,604938088,"North Carolina","NC",54566,3765.57,560848000,577002000,51843,3635.2,581315000,624108000,"Forsyth County","Winston Salem",27105,NA,"12-City: Mid-size",36.17996,-80.281211,3705,"1-Metropolitan Area",52681,3593.91
"13","1200390","69706",2020,"The School Board of Miami-Dade County",6325737000,1948945000,201343000,0,0,4314370000,4120010000,"Florida","FL",347307,18373,4055452000,4111909000,334261,16758,4324851000,4158104000,"Miami-Dade County","MIAMI",33132,1308,"21-Suburb: Large",25.78893,-80.190942,1224,"1-Metropolitan Area",328589,17365
"14","0803360","1237862",2020,"City And County of Denver School District No. 1",3548501249,400400429,54122079,0,0,1413151847,1560645403,"Colorado","CO",92143,6149.47,1588186000,1605362000,89081,6120.67,1615429000,1593940000,"Denver County","DENVER",80203,2996,"11-City: Large",39.74575,-104.985751,801,"1-Metropolitan Area",88911,6140.88
"15","1201470","198253",2020,"Osceola County District School Board",629910852,297815602,15687722,0,0,709946823,795253071,"Florida","FL",69925,4045.71,783041000,728329000,68640,3925.91,840959000,743210000,"Osceola County","KISSIMMEE",34744,4492,"21-Suburb: Large",28.298868,-81.361335,1209,"1-Metropolitan Area",72427,3600.57
"16","1709930","198265",2020,"Chicago Board of Education",27536280000,14127342000,2554892000,0,0,8034274000,6953478000,"Illinois","IL",347484,21943.44,6933320000,7130321000,341382,NA,7446508000,7481077000,"Cook County","Chicago",60602,4413,"11-City: Large",41.882233,-87.628809,1707,"1-Metropolitan Area",329836,22797.43
"17","0634320","146593",2020,"San Diego Unified School District",6421488110,1449568000,135880213,0,0,1875674718,1987911916,"California","CA",102270,0,2101817000,2309589000,97968,4266.88,2239718000,2247111000,"San Diego County","San Diego",92103,2682,"11-City: Large",32.754564,-117.147475,653,"1-Metropolitan Area",95233,4289.35
"18","0609850","146048",2020,"Corona-Norco Unified School District",1511591818,625815620,76877208,0,0,740906139,699973014,"California","CA",52557,0,695202000,710246000,51318,2062.96,759981000,697555000,"Riverside County","Norco",92860,1903,"12-City: Mid-size",33.922685,-117.561634,642,"1-Metropolitan Area",50889,2076.56
"19","0614550","146154",2020,"Fresno Unified School District",3034261964,942203000,1019190619,0,0,1233813509,1166709424,"California","CA",71265,0,1163319000,1160647000,70088,2159.3,1286872000,1219665000,"Fresno County","Fresno",93721,2287,"11-City: Large",36.73666,-119.787071,616,"1-Metropolitan Area",69873,3548.96
"20","0622710","146329",2020,"Los Angeles Unified School District",29653109000,7446273000,8578152000,0,0,9320067000,9124800000,"California","CA",483234,0,9721115000,9632193000,460633,21872.95,11112479000,9900601000,"Los Angeles County","Los Angeles",90017,1466,"11-City: Large",34.056169,-118.257348,634,"1-Metropolitan Area",435958,21893.94
"21","4820340","38895",2020,"Garland Independent School District",1028867238,176503815,204393433,0,0,653022063,692323253,"Texas","TX",55701,3594.08,662541000,617003000,53921,3609.3,646979000,611815000,"Dallas County","GARLAND",75042,7108,"21-Suburb: Large",32.90868,-96.683861,4805,"1-Metropolitan Area",53674,3448.14
"22","3701920","36571",2020,"Guilford County Board of Education",1173118351,301635944,804006602,0,1114168,822101070,796869443,"North Carolina","NC",72682,4688.43,788567000,787207000,70047,4770.13,819880000,820562000,"Guilford County","Greensboro",27401,NA,"11-City: Large",36.08087,-79.793191,3713,"1-Metropolitan Area",69173,4757.33
"23","0803450","32045",2020,"Douglas County School District Re.1",1545454919,864936787,42529387,0,0,619988621,809862038,"Colorado","CO",67305,3680.47,855927000,854698000,62979,3664.71,831121000,869311000,"Douglas County","CASTLE ROCK",80108,NA,"21-Suburb: Large",39.375981,-104.859375,804,"1-Metropolitan Area",63596,3609.66
"24","1201710","32425",2020,"Seminole County Public Schools",601902285,346916779,18813350,0,0,666147076,682225811,"Florida","FL",68096,3571.49,682448000,674976000,66226,3307.17,724493000,669438000,"Seminole County","SANFORD",32773,7125,"21-Suburb: Large",28.75788,-81.284129,1207,"1-Metropolitan Area",66729,3543.27
"25","1200870","32396",2020,"The School District of Hillsborough County",2502458869,1166977434,208572211,0,0,2466616138,2451375686,"Florida","FL",223305,13538.5,2423595000,2479463000,218943,13710.99,2563752000,2430968000,"Hillsborough County","TAMPA",33602,3502,"21-Suburb: Large",27.949214,-82.452317,1214,"1-Metropolitan Area",224149,13001.82
"26","1302220","32567",2020,"Forsyth County Board of Education",1482624205,445614082,305628089,0,0,608582855,619104806,"Georgia","GA",50544,3078.1,613976000,694258000,51152,3157.3,648257000,694228000,"Forsyth County","Cumming",30040,NA,"21-Suburb: Large",34.23248,-84.120841,1307,"1-Metropolitan Area",52757,3206.5
"27","4808700","39189",2020,"Arlington Independent School District",1643859113,202083399,231749147,0,0,756774370,759674721,"Texas","TX",59532,4039.63,723448000,733561000,56840,4114.71,735050000,780567000,"Tarrant County","ARLINGTON",76011,NA,"11-City: Large",32.70982,-97.124471,4806,"1-Metropolitan Area",56311,3923.88
"28","4815000","39105",2020,"Conroe Independent School District",1873250052,169824823,205866828,0,0,730581396,742306470,"Texas","TX",64799,3930.12,712178000,715341000,64563,4110.6,769389000,825633000,"Montgomery County","CONROE",77304,NA,"12-City: Mid-size",30.320576,-95.486046,4808,"1-Metropolitan Area",67761,4239.57
"29","4808940","39211",2020,"Austin Independent School District",2497995416,118517031,302775488,0,0,1672957566,1757890245,"Texas","TX",80911,5484.07,1698034000,1951250000,74871,5508.22,1634054000,2001453000,"Travis County","AUSTIN",78704,NA,"11-City: Large",30.218592,-97.753379,4835,"1-Metropolitan Area",74602,5238.78
"30","4819700","39194",2020,"Fort Worth Independent School District",2010513068,305150969,352419124,0,0,1074969265,1118553390,"Texas","TX",82891,5569.24,1029305000,1111041000,76858,5488.23,1140461000,1268455000,"Tarrant County","FORT WORTH",76107,3010,"11-City: Large",32.760407,-97.360455,4812,"1-Metropolitan Area",74850,5069.52
"31","4900360","39321",2020,"Granite School District",604234008,214554003,1982613,0,0,675672751,696323176,"Utah","UT",66276,2810.25,679625000,707146000,63430,NA,694821000,723646000,"Salt Lake County","SALT LAKE CITY",84115,NA,"21-Suburb: Large",40.716144,-111.889344,4904,"1-Metropolitan Area",62544,2785.77
"32","4900420","39322",2020,"Jordan School District",505146280,154946340,2387087,0,0,538949305,534505057,"Utah","UT",57771,2535.29,513408000,566852000,57267,NA,553262000,571457000,"Salt Lake County","WEST JORDAN",84084,NA,"21-Suburb: Large",40.61707,-111.983991,4904,"1-Metropolitan Area",59363,2632.94
"33","4838080","39253",2020,"Round Rock Independent School District",1540696369,124392763,165202836,0,0,621266430,633743617,"Texas","TX",50953,3537.26,592934000,595621000,48302,3562.27,581534000,730026000,"Williamson County","ROUND ROCK",78681,4941,"12-City: Mid-size",30.511455,-97.697025,4831,"1-Metropolitan Area",47167,3450.84
"34","5307710","39643",2020,"Seattle School District No.1",123970331,295248620,0,0,0,1188817592,1263718387,"Washington","WA",55986,3238.68,1218512000,1131647000,53973,3377.56,1302978000,1114357000,"King County","SEATTLE",98134,1165,"11-City: Large",47.580836,-122.330963,5307,"1-Metropolitan Area",51443,3110.54
"35","5509600","40012",2020,"Milwaukee Public Schools",1413229033,187257004,762277112,76455593,0,1268266817,1208173119,"Wisconsin","WI",74683,4388.34,1210952000,1211356000,71510,4345.15,1300595000,1251877000,"Milwaukee County","Milwaukee",53208,2627,"11-City: Large",43.04813,-87.979731,5504,"1-Metropolitan Area",69115,4269.89
"36","3174820","35480",2020,"Omaha City School District 1",1787588000,848152000,24055000,0,0,937158000,852021000,"Nebraska","NE",53483,3498.07,783830000,816217000,51914,3259.94,765346000,990674000,"Douglas County","OMAHA",68131,2024,"11-City: Large",41.267518,-95.960099,3102,"1-Metropolitan Area",51626,3445.22
"37","2400420","41713",2020,"Howard County Board of Education",1031229897,50666596,849712337,0,0,1112467221,1082067035,"Maryland","MD",58868,4324.5,1085574000,1054436000,57293,4241,1158890000,1083360000,"Howard County","Ellicott City",21042,NA,"21-Suburb: Large",39.235639,-76.889606,2407,"1-Metropolitan Area",57325,4258.4
"38","1301740","105280",2020,"Dekalb County Board of Education",2301940046,1122765085,770250780,0,0,1431948985,1466773135,"Georgia","GA",98800,6892.6,1480388000,1415756000,93470,7108.9,1542598000,1363065000,"DeKalb County","Decatur",30032,NA,"21-Suburb: Large",33.832661,-84.194543,1304,"1-Metropolitan Area",93473,6676.1
"39","4501440","43341",2020,"Charleston County School District",2050410740,583236524,501590758,0,0,794107999,895123983,"South Carolina","SC",50299,3462.4,973407000,952265000,48330,3586.55,1040191000,984936000,"Charleston County","Charleston",29401,NA,"12-City: Mid-size",32.7879,-79.930751,4501,"1-Metropolitan Area",49331,3822.48
"40","3200060","35528",2020,"Clark County School District",7278369954,3186524832,281606000,0,0,3532293031,3748080450,"Nevada","NV",328991,16490,3780288000,3772124000,315646,14395,3813021000,3820370000,"Clark County","LAS VEGAS",89146,NA,"11-City: Large",36.145349,-115.211177,3201,"1-Metropolitan Area",315787,NA
"41","1301230","48791",2020,"Clayton County Board of Education",916357252,467584423,347674422,0,0,619302155,655624753,"Georgia","GA",54424,3151.5,659093000,646512000,52149,3292.6,711007000,661256000,"Clayton County","Jonesboro",30236,NA,"21-Suburb: Large",33.53653,-84.357071,1313,"1-Metropolitan Area",52335,3259.1
"42","3702970","36608",2020,"Charlotte-Mecklenburg Board of Education",2559051000,622449000,1688234000,0,2319000,1700351000,1799355000,"North Carolina","NC",149845,9183.03,1629822000,1928007000,142733,9284.44,1676922000,2079414000,"Mecklenburg County","Charlotte",28208,NA,"11-City: Large",35.187118,-80.889273,3712,"1-Metropolitan Area",143244,9030.26
"43","3200480","35535",2020,"Washoe County School District",2191603737,716187044,196695810,0,0,781154443,770757665,"Nevada","NV",67301,3875,794783000,914736000,64584,3994,811167000,913412000,"Washoe County","RENO",89520,NA,"11-City: Large",39.53761,-119.810017,3202,"1-Metropolitan Area",65538,NA
"44","4900030","39330",2020,"Alpine School District",1059030997,185909219,66222363,0,0,768957816,758243762,"Utah","UT",83540,3253.9,737336000,851034000,82800,NA,803172000,820336000,"Utah County","American Fork",84003,NA,"21-Suburb: Large",40.388401,-111.79653,4903,"1-Metropolitan Area",86275,3308.62
"45","4820010","38875",2020,"Frisco Independent School District",2771800196,182078056,195016124,0,0,832675941,820388165,"Texas","TX",62705,4279.4,733330000,800767000,63493,4388.91,741665000,877989000,"Collin County","FRISCO",75035,NA,"21-Suburb: Large",33.124631,-96.796882,4803,"1-Metropolitan Area",65825,4407.63
"46","4818300","38929",2020,"El Paso Independent School District",1635139177,165283406,214670423,0,0,709583644,713146693,"Texas","TX",55253,3828.65,688716000,871968000,50661,3730.52,676551000,877310000,"El Paso County","EL PASO",79902,NA,"11-City: Large",31.765784,-106.491527,4816,"1-Metropolitan Area",50769,3511.69
"47","4835100","38877",2020,"Plano Independent School District",1471969476,174271009,198353587,0,0,872168012,929400425,"Texas","TX",52629,3855.13,864934000,825048000,50154,3786.89,883766000,793295000,"Collin County","PLANO",75075,7524,"11-City: Large",33.018521,-96.746043,4803,"1-Metropolitan Area",49400,3638.01
"48","4807710","38981",2020,"Aldine Independent School District",1730907415,206674704,244402754,0,0,838250145,850679006,"Texas","TX",67259,4200.14,808024000,771454000,63302,4243.82,884055000,818824000,"Harris County","HOUSTON",77073,NA,"21-Suburb: Large",30.003612,-95.389625,4818,"1-Metropolitan Area",61633,3990.7
"49","4816230","38892",2020,"Dallas Independent School District",4757887523,595195671,690114814,0,0,2185683004,2323118295,"Texas","TX",153861,9989.46,2222969000,2240796000,145113,10265.92,2213643000,2422714000,"Dallas County","DALLAS",75231,NA,"11-City: Large",32.87655,-96.768441,4832,"1-Metropolitan Area",143558,9873.5
"50","4823640","38988",2020,"Houston Independent School District",4918438580,594268532,716497750,0,0,2707336003,2881150552,"Texas","TX",210061,11770.28,2678991000,2751715000,196943,11750.11,2622407000,2620063000,"Harris County","HOUSTON",77092,8501,"11-City: Large",29.802507,-95.454267,4802,"1-Metropolitan Area",194607,10982.91
"51","4825170","38990",2020,"Katy Independent School District",2787669152,223796599,281189550,0,0,1072886090,1089968833,"Texas","TX",83423,5602.56,1047002000,1069512000,84176,5881.77,1079966000,1088519000,"Fort Bend County","KATY",77494,1057,"21-Suburb: Large",29.7803,-95.8327,4822,"1-Metropolitan Area",88368,6080.62
"52","4819650","38940",2020,"Fort Bend Independent School District",1939809685,206732032,270110960,0,0,1063607180,971061938,"Texas","TX",77756,4876.16,907541000,1060750000,76735,5054.75,920232000,1165638000,"Fort Bend County","SUGAR LAND",77479,2308,"21-Suburb: Large",29.58887,-95.622211,4822,"1-Metropolitan Area",77545,5019.98
"53","4823910","44074",2020,"Humble Independent School District",1216359655,121906407,149154126,0,0,583818039,574949495,"Texas","TX",45078,2931.02,539996000,572059000,45528,3123.61,592505000,715739000,"Harris County","HUMBLE",77338,NA,"21-Suburb: Large",30.012879,-95.267822,4802,"1-Metropolitan Area",48112,3200.11
"54","0802910","32036",2020,"Cherry Creek School District No 5",1931718440,1074427362,52826631,0,0,569719633,770750774,"Colorado","CO",56228,3234.26,782035000,782350000,54184,3367.93,798786000,781829000,"Arapahoe County","GREENWOOD VILLAGE",80111,1394,"11-City: Large",39.631056,-104.884328,806,"1-Metropolitan Area",53587,3194.09
"55","1200330","32378",2020,"Collier County District School Board",600855011,296446043,5027106,0,0,704647470,691047972,"Florida","FL",47834,2786.05,670634000,653870000,46329,2713.75,691957000,656509000,"Collier County","NAPLES",34109,919,"21-Suburb: Large",26.220768,-81.758198,1219,"1-Metropolitan Area",47617,2847.74
"56","4900210","39313",2020,"Davis School District",889548468,181144594,0,0,0,694223529,728477766,"Utah","UT",74773,3055.61,714113000,703172000,72082,NA,740335000,705134000,"Davis County","Farmington",84025,NA,"21-Suburb: Large",40.980796,-111.886593,4902,"1-Metropolitan Area",74486,3061.45
"57","1200180","68696",2020,"The School Board of Broward County",4251168000,1419517000,216322000,0,0,3132393000,3041050000,"Florida","FL",269172,14111.43,3003196000,3148988000,260235,13737.49,2979069000,3179172000,"Broward County","FORT LAUDERDALE",33301,3125,"21-Suburb: Large",26.114594,-80.139472,1222,"1-Metropolitan Area",256037,13341.46
"58","3500060","35931",2020,"Albuquerque Municipal School District No. 12",2397848787,1284568723,363064860,0,0,572543455,1131467933,"New Mexico","NM",88312,6183.24,1228951000,1147156000,83031,6050.39,1169123000,1201928000,"Bernalillo County","ALBUQUERQUE",87110,NA,"11-City: Large",35.102965,-106.572756,3501,"1-Metropolitan Area",81762,6029.47
"59","1201920","70626",2020,"Volusia County District School Board",791182331,338806631,18586161,0,0,669777965,663782752,"Florida","FL",63009,3844.04,671121000,668962000,61088,3664.93,717538000,673085000,"Volusia County","DELAND",32720,4207,"13-City: Small",29.030183,-81.308481,1206,"1-Metropolitan Area",62666,3782.92
"60","2400060","41282",2020,"Anne Arundel County Board of Education",2182951319,64243619,1859904000,0,0,1405044746,1481594562,"Maryland","MD",84984,5787,1457055000,1501275000,83044,5957.47,1469198000,1465525000,"Anne Arundel County","Annapolis",21401,NA,"21-Suburb: Large",38.97612,-76.559401,2404,"1-Metropolitan Area",83163,6013.61
"61","1301290","70971",2020,"Cobb County School District",2217236000,1158513000,755723000,0,0,1465479000,1517922000,"Georgia","GA",112097,7361.8,1504214000,1528033000,107379,7347.7,1577457000,1456244000,"Cobb County","Marietta",30061,NA,"21-Suburb: Large",33.938441,-84.538051,1311,"1-Metropolitan Area",106970,7331.5
"62","1300120","70961",2020,"School District Atlanta Public Schools",1457874182,926762156,348020497,0,0,957538019,1064997400,"Georgia","GA",52416,4025.5,1230648000,1032605000,51012,4099.2,1127638000,1041310000,"Fulton County","Atlanta",30335,NA,"11-City: Large",33.748278,-84.392176,1305,"1-Metropolitan Area",49994,4076.9
"63","3704720","36675",2020,"Wake County Board of Education",2749372028,691000187,1855820546,0,2555383,1818653565,1970695735,"North Carolina","NC",163404,10449.95,1680930000,1935687000,159802,10515.93,1709851000,1903899000,"Wake County","Cary",27518,9227,"11-City: Large",35.754138,-78.736509,3704,"1-Metropolitan Area",160099,10961.49
"64","4218990","87525",2020,"School District of Philadelphia",8193140034,3571478000,179300000,0,0,3931250090,3861891368,"Pennsylvania","PA",130617,7789.23,3705298000,3967179000,124111,7855.67,3812902000,3899835000,"Philadelphia County","Philadelphia",19130,NA,"11-City: Large",39.96101,-75.162641,4203,"1-Metropolitan Area",118053,7968.97
"65","4700148","87787",2020,"Board of Education of Shelby County",958891499,181063,879359591,190965425,0,1162335680,1336828018,"Tennessee","TN",113198,6897,1347179000,1395085000,110780,6546.09,1385982000,1382789000,"Shelby County","Memphis",38112,NA,"11-City: Large",35.130137,-89.975672,4709,"1-Metropolitan Area",105596,6694.54
"66","4827300","38905",2020,"Lewisville Independent School District",2016853986,159467259,183776610,0,0,675866265,752269010,"Texas","TX",52189,3605.73,735535000,870650000,49361,3691.7,694752000,817532000,"Denton County","LEWISVILLE",75067,2616,"21-Suburb: Large",33.044284,-97.035084,4826,"1-Metropolitan Area",49205,3752.34
"67","4834320","38993",2020,"Pasadena Independent School District",1358873648,209167194,237273584,0,0,713080606,681880739,"Texas","TX",52878,3736.03,648851000,656620000,50614,3752.34,671489000,654920000,"Harris County","PASADENA",77502,NA,"21-Suburb: Large",29.678147,-95.191679,4829,"1-Metropolitan Area",49326,3828.17
"68","4502310","38341",2020,"The School District of Greenville County",2523154282,895763981,760663343,0,0,940707649,954914212,"South Carolina","SC",77302,5003.8,1004916000,930194000,74094,4990.38,1058506000,984000000,"Greenville County","Greenville",29601,NA,"21-Suburb: Large",34.8439,-82.396061,4504,"1-Metropolitan Area",76939,5133.93
"69","4816110","38984",2020,"Cypress-Fairbanks Independent School District",4145823676,354920841,416699640,0,0,1433416147,1382684090,"Texas","TX",117446,7375.24,1313144000,1401690000,114881,7659.35,1391872000,1582191000,"Harris County","HOUSTON",77065,4208,"21-Suburb: Large",29.922756,-95.583673,4802,"1-Metropolitan Area",117217,7682.15
"70","4833120","38820",2020,"Northside Independent School District",3032820362,330423641,386107674,0,0,1297554866,1322943080,"Texas","TX",107817,7001.95,1281221000,1325003000,103151,6844.94,1223549000,1344525000,"Bexar County","SAN ANTONIO",78238,1699,"11-City: Large",29.490785,-98.601414,4820,"1-Metropolitan Area",102377,6792.17
"71","4703690","107389",2020,"Rutherford County Schools",194241342,NA,137665254,56254755,NA,443132101,444774269,"Tennessee","TN",47458,3083.9,461443000,493333000,47186,3008.05,501384000,563614000,"Rutherford County","Murfreesboro",37128,NA,"21-Suburb: Large",35.812086,-86.403053,4704,"1-Metropolitan Area",49253,3082.8
"72","5102250","1250804",2020,"Loudoun County Public Schools",1674258721,993580040,403737216,0,0,1461289718,1497874074,"Virginia","VA",83606,5995.09,1382367000,1493054000,81066,6114.58,1508890000,1533826000,"Loudoun County","Ashburn",20148,NA,"21-Suburb: Large",39.0337,-77.517751,5110,"1-Metropolitan Area",81131,5924
"73","0612330","146106",2020,"Elk Grove Unified School District",1218599815,749359000,11770913,0,0,887739046,841645710,"California","CA",63660,0,838162000,860041000,63157,2722.23,940531000,877050000,"Sacramento County","Elk Grove",95624,1801,"21-Suburb: Large",38.41158,-121.373061,607,"1-Metropolitan Area",62229,2763.54
"74","0404970","30554",2020,"Mesa Unified School District No.4",897959189,468531459,0,0,0,618205248,644754580,"Arizona","AZ",62703,3274.31,630987000,619835000,57956,3321.27,704867000,681325000,"Maricopa County","MESA",85201,7422,"11-City: Large",33.4147,-111.829291,409,"1-Metropolitan Area",58859,3476.15
"75","2200840","76062",2020,"Jefferson Parish Public School System",1465097782,538799170,625990594,0,0,682745988,670081371,"Louisiana","LA",49862,2362.9,671932000,633269000,48160,2302.73,730466000,665419000,"Jefferson Parish","Harvey",70058,3585,"21-Suburb: Large",29.8864,-90.055,2202,"1-Metropolitan Area",46896,2186.31
